,profile_name,rating,rating_date,title,review_text
0,Ashwani Jha,5.0 out of 5 stars,Reviewed in India on 9 February 2025,"5.0 out of 5 stars
iPhone 16 Review – A Seamless Upgrade Experience! ⭐⭐⭐⭐⭐
","
Upgrading to the iPhone 16 was an absolute breeze! Apple has once again refined the transition process, making data transfer from my old iPhone effortless. With just a few taps, everything—from apps to settings—moved over flawlessly, making the switch feel seamless.The performance is top-notch, with unparalleled smoothness in navigation, app responsiveness, and multitasking. The enhanced battery life, display quality, and camera features make it a worthy upgrade for anyone looking for the best smartphone experience.If you’re considering an upgrade, the iPhone 16 won’t disappoint. Apple continues to set the standard for premium smartphones! Highly recommended!
"
1,Alok,5.0 out of 5 stars,Reviewed in India on 18 March 2025,"5.0 out of 5 stars
Iphone
","
A good phone at a good price
"
2,M K Chakravarthy,5.0 out of 5 stars,Reviewed in India on 21 March 2025,"5.0 out of 5 stars
Apple
","
good product
"
3,Ali,4.0 out of 5 stars,Reviewed in India on 26 March 2025,"4.0 out of 5 stars
Battery is better and camera editing is good
","
Nice product,
"
4,Asif ahmef,5.0 out of 5 stars,Reviewed in India on 6 March 2025,"5.0 out of 5 stars
iPhone 16
","
Definately go for it......This colour also give you amezing feel✨...one more thing I am using iQOO z7pro which has 120hz display and iphone 16 has 60hz but it's surprisingly feel like 90hz ...so don't worry for refresh rate 👍
"
5,Amazon Customer,5.0 out of 5 stars,Reviewed in India on 19 March 2025,"5.0 out of 5 stars
Excellent product
","
Best product
"
6,Placeholder,1.0 out of 5 stars,Reviewed in India on 15 March 2025,"1.0 out of 5 stars
Poor Seller Experience
","
I am writing to formally complain about my recent purchase of an iPhone 16 from online on Amazon.I received the item on the same day of purchase, but upon unboxing, I noticed that the iPhone came in a mismatched (muddled) box. When I powered it on, the phone was stuck on the “Hello” screen, repeatedly displaying “Hello” in multiple languages. It was completely unresponsive—none of the buttons, including the power and volume buttons, were functioning.After approximately five hours, the battery finally drained, and the phone shut down. However, after restarting, the same issue persisted, with the device stuck on the “Hello” screen again.I contacted Amazon’s support team, who advised me to reach out to Apple Support. Apple Support suggested some troubleshooting steps, but none resolved the issue. Ultimately, they advised me to visit an Apple-authorized service center for a software reinstallation—on a brand-new phone.I then had to travel 5 km to a Maple (Apple-authorized) service center, where they reinstalled the software. The process took about 45–50 minutes, finally making the phone functional.I am extremely disappointed with this experience. After purchasing a costly device, I suffered an entire day of inconvenience due to the seller’s inefficiency or the company’s negligence in quality control. This is unacceptable, especially for a premium product.Previously, I had purchased an iPhone 15 online without any issues, but this time, the experience was frustrating and disappointing. I strongly urge you to take action against this seller for supplying what appears to be old or improperly stored stock.I request appropriate compensation for the inconvenience and mental stress caused. Additionally, I advise other customers to be cautious when purchasing from this seller.I hope Amazon takes this matter seriously and ensures such incidents do not happen again.
"
7,Kartik S.,5.0 out of 5 stars,Reviewed in India on 7 March 2025,"5.0 out of 5 stars
Go for it without hesitation 👍
","
Shifting from Android to ios is the best decision I ever had..Amazing phone specially the teal color. It looks premium and good.
"
8,BADAL KUMAR PANY,4.0 out of 5 stars,Reviewed in India on 21 March 2025,"4.0 out of 5 stars
Battery Drain, Heating
","
I faced Battery drain and heating related issues.
"
9,Prabhakar h.,4.0 out of 5 stars,Reviewed in India on 2 March 2025,"4.0 out of 5 stars
Dirty box
","
Product was good but need to improve the package safety only a cardboard cover for iphone the box was also dirty and mishandled
"
10,Ranak Chaudhuri,4.0 out of 5 stars,Reviewed in India on 4 March 2025,"4.0 out of 5 stars
Facing camera errors
","
Everything is going great. But just that issues have come in the camera
"
11,Rajesh Rajbhar,4.0 out of 5 stars,Reviewed in India on 24 February 2025,"4.0 out of 5 stars
10/9
",
12,monika,3.0 out of 5 stars,Reviewed in India on 17 March 2025,"3.0 out of 5 stars
Iphone16-3 star
","
Value for money-3Battery Durability-4*, Battery quality-1 star(after charging for20 mins phone gets heat up like anything)Phone proccessor-Slow (compared to Android, requires patience for a person like who has always prefereed high spped processing_For half of the feature i had to ask Siri, check applesupportOverall if you are using oneplus (good quality one, u may find it difficult or maybe need sometime to grt used with the spped, features and batery issues), some good features as well but i am still exploring,
"
13,Amazon Customer,4.0 out of 5 stars,Reviewed in India on 4 February 2025,"4.0 out of 5 stars
Very nice phone.
","
Very nice phone. Display is excellent in class.Only con I notice it is not pairing with my series 3 watch.
"
14,User,5.0 out of 5 stars,Reviewed in India on 24 March 2025,"5.0 out of 5 stars
Amazing
","
Beast of a device, Super happy with my purchase.
"
15,Sanjay Badhai,4.0 out of 5 stars,Reviewed in India on 7 February 2025,"4.0 out of 5 stars
its very good
","
it ok ok
"
16,Sabari,4.0 out of 5 stars,Reviewed in India on 2 February 2025,"4.0 out of 5 stars
iPhone
","
As usual iPhone standards
"
17,Placeholder,4.0 out of 5 stars,Reviewed in India on 28 January 2025,"4.0 out of 5 stars
Worth for per chasing.
","
Network is not very good.
"
18,Ravi singh,4.0 out of 5 stars,Reviewed in India on 7 February 2025,"4.0 out of 5 stars
Perfect phone
","
but one issue is noticed , 60 Hz
"
19,Manogharan Lakshmanan,5.0 out of 5 stars,Reviewed in India on 16 March 2025,"5.0 out of 5 stars
Product comments
","
Good it is.
"
20,Krisan Murrari,3.0 out of 5 stars,Reviewed in India on 17 February 2025,"3.0 out of 5 stars
My phone is not working properly after 2 updates.
","
The mobile handset is good but lots of glitch is there-Action/dedicated camera button is not working properly-Camera function is also not good (it’s take time to get stability)-the network connectivity also glitch sometime-gyroscope and proximate sensor is not working properly-the calling sensor is also not working properly due to that the handset get heat sometime.-contrast and brightness is also not working properly.I would request to the Amazon’s team to take review on priority and plz help the customers.
"
21,mahesh,5.0 out of 5 stars,Reviewed in India on 6 March 2025,"5.0 out of 5 stars
Best gift
","
No comments for apple
"
22,Kangkan N.,5.0 out of 5 stars,Reviewed in India on 11 March 2025,"5.0 out of 5 stars
Good first impressions
","
My first Iphone purchase and I am loving it. Very smooth experience
"
23,Sridher,5.0 out of 5 stars,Reviewed in India on 4 March 2025,"5.0 out of 5 stars
O
","
Just go for it✨🥰
"
24,aleesha k.,3.0 out of 5 stars,Reviewed in India on 19 March 2025,"3.0 out of 5 stars
Not Worthy of money
","
Very expensive and not worthy of money
"
25,Abid ansari,4.0 out of 5 stars,Reviewed in India on 13 January 2025,"4.0 out of 5 stars
Good battery life
","
Nice phone
"
26,P C R,5.0 out of 5 stars,Reviewed in India on 27 February 2025,"5.0 out of 5 stars
A
","
A
"
27,Mr. Singh,5.0 out of 5 stars,Reviewed in India on 23 February 2025,"5.0 out of 5 stars
Good Upgrade
","
Upgrade worth it
"
28,ankit sengar,5.0 out of 5 stars,Reviewed in India on 12 February 2025,"5.0 out of 5 stars
Amazing phone
","
Nice in all categories
"
29,Prabhu Jewellery,3.0 out of 5 stars,Reviewed in India on 28 January 2025,"3.0 out of 5 stars
Device is nice, pricing could be better.
","
Software issue out of the box and Flipkart had better offers, try store offers they offer more. Got my another device from store which worked 5k cheaper than online.
"
30,Ramdev Badiyasar,3.0 out of 5 stars,Reviewed in India on 14 February 2025,"3.0 out of 5 stars
Android
","
Android better than this phone
"
31,Pagli Sora,4.0 out of 5 stars,Reviewed in India on 8 November 2024,"4.0 out of 5 stars
Recomended
","
Delivered in an impeccable condition and nicely packed.Iphone 16 is really good in every respect.The color of the phone is very beautiful.The time taken for delivery could have been better for which I am giving 4 Star otherwise nothing to complaint.
"
32,JOE JOY,5.0 out of 5 stars,Reviewed in India on 10 February 2025,"5.0 out of 5 stars
Good Product
","
Good product overall though heating very quick post charging. Think it’s a general problem with iPhone 16 models
"
33,dushyant sagar,5.0 out of 5 stars,Reviewed in India on 31 January 2025,"5.0 out of 5 stars
Awsm
","
Good
"
34,Placeholder,3.0 out of 5 stars,Reviewed in India on 29 January 2025,"3.0 out of 5 stars
Only 3500 mah battery u have to recharge twice a day in normal usage
","
Poor battery in mobile
"
35,Veer Rana Khangembam,5.0 out of 5 stars,Reviewed in India on 30 January 2025,"5.0 out of 5 stars
Ok
","
Like the color
"
36,Haresh K.,4.0 out of 5 stars,Reviewed in India on 1 November 2024,"4.0 out of 5 stars
Working fine
","
Nothing much to add on this model. Working smoothly and good quality.Nice product with just status symbol 'Apple'
"
37,RoseK,4.0 out of 5 stars,Reviewed in India on 10 November 2024,"4.0 out of 5 stars
Loving it
","
I’m happy with my purchase . Got delivered on time . Thank you Amazon
"
38,Aish,5.0 out of 5 stars,Reviewed in India on 26 January 2025,"5.0 out of 5 stars
good product
","
nice product
"
39,Sharad Kumar,5.0 out of 5 stars,Reviewed in India on 31 January 2025,"5.0 out of 5 stars
Worthy for 42k deal
","
Worthy for 42k deal
"
40,Darpan Hingrajia,5.0 out of 5 stars,Reviewed in India on 2 February 2025,"5.0 out of 5 stars
Performance Security and perfection.
","
High performanceLong lastingBest qualityBest securityJust Apple thing.
"
41,Manoj Kumar,5.0 out of 5 stars,Reviewed in India on 11 January 2025,"5.0 out of 5 stars
Best experience
","
Better than expectedThanks Apple and AmazonSeamless experience by apple.
"
42,Amazon Customer,3.0 out of 5 stars,Reviewed in India on 3 January 2025,"3.0 out of 5 stars
Good item But  should supply items such as charger ,screen protector  etc
","
It is injustice to supply on a bare  mobile phone without giveing a charger and screen protector
"
43,Amazon Customer,5.0 out of 5 stars,Reviewed in India on 26 December 2024,"5.0 out of 5 stars
Very expensive. Should be worth it!
","
Delivery and packaging were good and prompt.Liked the phone. Very expensive, I hope it is worth it.
"
44,Rahul Kumar,5.0 out of 5 stars,Reviewed in India on 15 December 2024,"5.0 out of 5 stars
Super fast 5G phone with apple reliability
","
The best feature of iPhone is that it does not hang even after many years of use. This one is super fast and easy to use
"
45,ganesh,5.0 out of 5 stars,Reviewed in India on 12 October 2024,"5.0 out of 5 stars
Looks
","
The phone is just amazing! Although there’s not much difference between iPhone 15 and 16 but i felt that its pretty good. I was using iphone 15plus which is quite bigger size than the regular one and i have small hands so it was hard for me to manage and was facing issue with the heating. But iphone 16 is something i felt that this size is just right for my hands so i am loving it for now. When it comes to the phon colour it is a bit similar to iphone 13 just the matt and the glass difference.
"
46,Amazon Customer,3.0 out of 5 stars,Reviewed in India on 1 December 2024,"3.0 out of 5 stars
Good but screen guard and charging adapter not given
","
Phone is good . But no screen guard was given . Moreover . There is no charging adapter
"
47,M V Patel,5.0 out of 5 stars,Reviewed in India on 5 January 2025,"5.0 out of 5 stars
Great
","
Excellent product from Apple
"
48,Praharsh Mehta,5.0 out of 5 stars,Reviewed in India on 3 January 2025,"5.0 out of 5 stars
My prized possession.
","
Great product.
"
49,Subhasish A.,3.0 out of 5 stars,Reviewed in India on 27 November 2024,"3.0 out of 5 stars
60 hz display is a disadvantage.
","
Lack of 120 hz is a major disappointment for me. If you can ignore that, than its a great product.
"
50,Neeraj,2.0 out of 5 stars,Reviewed in India on 2 March 2025,"2.0 out of 5 stars
Camera issues
","
Facing issues with camera does not open correctly with other apps. Camera has issues opening up with whatsapp, gpay it just gets stuck. Iphone 12 was far better.
"
51,Placeholder,5.0 out of 5 stars,Reviewed in India on 23 November 2024,"5.0 out of 5 stars
Excellent performance
","
Only drawback is 60Hz refresh rate but if your coming from old 60Hz refresh rate mobile then you won’t notice the difference at all.
"
52,Anupam lakra,4.0 out of 5 stars,Reviewed in India on 10 October 2024,"4.0 out of 5 stars
Absolutely good
","
Wonderful product worth of money
"
53,Yuvraj,5.0 out of 5 stars,Reviewed in India on 7 December 2024,"5.0 out of 5 stars
Battery is not lasting as expected
","
Phone is good with new A18 chipset. But I don’t see battery performance meeting the expected hype. It won’t even last a day with normal usage. Not sure if it’s with my device delivered or all new iPhone 16s
"
